subNb	sessionNb	globalBlockNb	blockType	blockIndexWithinType	backboneTrials	nbTargetsPlanned	trialNbInBlock	baseIndex	origin	direction	isTarget	trialOnset	trialDurationPlanned	stimOnset	stimDurationAchieved	itiPlanned	itiAchieved	stimFrames	itiFrames	keyPressed	RT	outcome	refreshHz	dotLifeFrames	simulateOnly	droppedFramesStim	droppedFramesITI	droppedFramesTrial
999	1	1	tac_down	1	160	16	79	73	actual	wrist_to_finger	0	139.2780	1.6181	139.2780	0.5004	1.1113	1.1176	30	67			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	80	73	duplicate	wrist_to_finger	1	140.8937	1.6681	140.8937	0.5004	1.1688	1.1677	30	70			MISS	59.947		0	0	1	1
999	1	1	tac_down	1	160	16	81	74	actual	thumb_to_pinky	0	142.5771	1.8183	142.5771	0.5004	1.3159	1.3178	30	79			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	82	75	actual	finger_to_wrist	0	144.3937	1.6181	144.3937	0.5004	1.1181	1.1176	30	67			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	83	76	actual	pinky_to_thumb	0	146.0104	1.8516	146.0104	0.5004	1.3472	1.3512	30	81			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	84	77	actual	thumb_to_pinky	0	147.8603	1.6181	147.8603	0.5004	1.1133	1.1176	30	67			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	85	78	actual	finger_to_wrist	0	149.4781	1.7182	149.4781	0.5004	1.2185	1.2177	30	73			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	86	79	actual	wrist_to_finger	0	151.1935	1.8683	151.1935	0.5004	1.3659	1.3679	30	82			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	87	80	actual	pinky_to_thumb	0	153.0434	1.7682	153.0434	0.5004	1.2757	1.2678	30	76			CORRECT_REJECT	59.947		0	0	0	0
999	1	1	tac_down	1	160	16	88	80	duplicate	pinky_to_thumb	1	154.8106	1.9350	154.8106	0.5004	1.4428	1.4346	30	86			MISS	59.947		0	0	0	0
